Id,LotArea,OverallQual,YearBuilt,1terQual,HeatingQC,GrLivArea,KitchenQual,TotRmsAbvGrd,GarageArea,SalePrice
537,8924,2,1998,3,1,1724,2,8,527,188000
538,12735,1,1972,3,3,864,3,5,576,111250
539,11553,1,1968,3,3,1159,3,7,336,158000
540,11423,2,2001,2,1,1601,2,6,670,272000
541,14601,2,2006,1,1,1838,1,8,765,315000
542,11000,2,2000,2,1,2285,2,8,648,248000
543,10140,2,1998,2,1,1680,2,7,583,213250
544,4058,2,1998,3,1,767,3,4,367,133000
545,17104,2,2006,2,1,1496,2,7,426,179665
546,13837,2,1988,2,2,2183,2,9,786,229000
547,8737,2,1923,3,1,1635,3,6,440,210000
548,7244,1,1970,3,1,768,3,5,624,129500
549,8235,1,1955,3,3,825,3,4,720,125000
550,9375,2,2003,2,1,2094,2,8,615,263000
551,4043,2,1977,3,3,1069,3,4,440,140000
552,6000,1,1957,3,2,928,3,5,288,112500
553,11146,2,2006,2,1,1717,2,7,908,255500
554,8777,1,1949,3,1,1126,2,5,520,108000
555,10625,2,2003,2,1,2046,2,8,871,284000
556,6380,1,1922,3,3,1048,3,5,280,113000
557,14850,1,1957,3,3,1092,3,6,299,141000
558,11040,1,1920,3,2,1336,3,7,570,108000
559,21872,2,1996,3,1,1446,3,6,406,175000
560,3196,2,2003,2,1,1557,2,7,420,234000
561,11341,1,1957,3,3,1392,3,5,528,121500
562,10010,1,1974,3,2,1389,3,6,418,170000
563,13907,1,1940,3,1,996,3,6,0,108000
564,21780,2,1918,3,1,1674,3,8,396,185000
565,13346,2,1992,2,1,2295,2,9,590,268000
566,6858,2,1915,3,3,1647,4,6,216,128000
567,11198,2,2005,2,1,2504,1,11,656,325000
568,10171,2,2004,2,1,1535,2,7,532,214000
569,12327,2,1983,2,1,2132,2,5,612,316600
570,7032,1,1979,3,3,943,3,4,600,135960
571,13101,1,1965,3,3,1728,3,10,576,142600
572,7332,2,1959,3,1,864,2,4,288,120000
573,13159,2,2009,3,2,1692,2,6,650,224500
574,9967,2,2000,3,1,1430,3,8,400,170000
575,10500,1,1971,3,3,1109,3,5,288,139000
576,8480,1,1947,3,3,1216,3,6,336,118500
577,6292,2,1928,3,2,1477,3,6,216,145000
578,11777,1,1966,3,1,1320,3,6,564,164500
579,3604,2,2007,2,1,1392,2,5,540,146000
580,12150,1,1954,3,1,1795,3,7,352,131500
581,14585,2,1960,3,1,1429,2,7,572,181900
582,12704,2,2008,1,1,2042,1,8,1390,253293
583,11841,2,1990,3,3,816,3,5,0,118500
584,13500,2,1893,1,2,2775,2,9,880,325000
585,6120,1,1935,3,1,1573,2,6,240,133000
586,11443,2,2005,2,1,2028,2,7,880,369900
587,10267,2,1918,3,1,838,4,5,275,130000
588,8740,1,1982,3,3,860,3,4,528,137000
589,25095,1,1968,3,1,1473,1,5,452,143000
590,9100,1,1930,3,3,935,3,4,308,79500
591,8320,2,2004,2,1,1582,2,6,520,185900
592,13478,2,2008,1,1,2296,1,10,842,451950
593,6600,1,1982,3,1,816,3,4,816,138000
594,4435,2,2003,2,1,848,2,4,420,140000
595,7990,1,1975,3,3,924,3,5,280,110000
596,11302,2,2005,2,1,1826,2,7,758,319000
597,3600,2,1910,3,1,1368,3,7,216,114504
598,3922,2,2006,2,1,1402,2,7,648,194201
599,12984,1,1977,3,1,1647,2,7,621,217500
600,1950,2,1980,3,3,1556,3,6,452,151000
601,10927,2,2005,2,1,1904,1,8,736,275000
602,9000,2,1937,3,3,1375,2,6,544,141000
603,10041,2,1992,2,1,1915,2,8,506,220000
604,3182,2,2004,2,1,1200,2,4,480,151000
605,12803,2,2002,2,1,1494,2,6,530,221000
606,13600,2,1965,3,3,1986,3,7,486,205000
607,12464,1,1996,3,2,1040,2,6,576,152000
608,7800,1,1948,3,1,2008,1,8,230,225000
609,12168,2,1934,3,3,3194,3,10,380,359100
610,7943,1,1961,3,2,1029,3,5,261,118500
611,11050,2,2000,2,1,2153,1,8,736,313000
612,10395,2,1978,3,3,1032,3,6,564,148000
613,11885,2,2001,2,1,1872,1,7,531,261500
614,8402,1,2007,3,1,1120,3,6,0,147000
615,1491,1,1972,3,1,630,3,3,0,75500
616,8800,2,1963,3,1,1054,2,6,480,137500
617,7861,2,2002,2,1,1509,2,7,393,183200
618,7227,2,1954,3,2,832,2,4,528,105500
619,11694,2,2007,1,1,1828,2,9,774,314813
620,12244,2,2003,2,1,2262,2,10,749,305000
621,8248,1,1914,3,3,864,3,5,0,67000
622,10800,2,1974,3,3,2614,3,9,624,240000
623,7064,1,1977,3,3,980,3,6,484,135000
624,2117,2,2000,2,1,1512,2,4,440,168500
625,10400,2,1972,3,2,1790,3,8,484,165150
626,10000,2,1962,3,3,1116,3,5,440,160000
627,12342,1,1960,3,3,1422,3,6,286,139900
628,9600,2,1955,3,1,1520,3,7,364,153000
629,11606,1,1969,3,3,2080,4,9,504,135000
630,9020,2,1964,3,3,1350,3,6,520,168500
631,9000,1,1880,3,3,1750,1,8,240,124000
632,4590,2,2006,2,1,1554,2,6,627,209500
633,11900,2,1977,3,3,1411,3,6,544,82500
634,9250,1,1954,3,3,1056,3,6,260,139400
635,6979,2,1980,3,2,1056,3,4,576,144000
636,10896,2,1914,4,1,3395,4,14,0,200000
637,6120,1,1936,4,4,800,4,4,0,60000
638,6000,1,1954,3,3,1387,2,7,256,93000
639,8777,1,1910,3,2,796,3,4,0,85000
640,3982,2,2006,2,1,1567,1,7,648,264561
641,12677,2,2003,1,1,1518,1,6,588,274000
642,7050,2,2001,2,1,1929,2,7,650,226000
643,13860,2,1972,2,2,2704,1,9,538,345000
644,10793,1,1969,3,1,1620,3,7,462,152000
645,9187,2,2009,1,1,1766,1,7,478,370878
646,10530,2,1971,3,3,981,3,5,576,143250
647,7200,1,1950,3,2,1048,3,7,420,98300
648,10452,2,1953,3,1,1094,3,5,495,155000
649,7700,2,1966,3,3,1839,3,7,442,155000
650,1936,1,1970,3,2,630,3,3,0,84500
651,8125,2,2007,2,1,1665,2,7,562,205950
652,9084,1,1940,3,3,1510,3,7,296,108000
653,8750,2,1996,2,1,1716,2,7,512,191000
654,10320,2,1906,3,1,1469,3,7,216,135000
655,10437,2,1995,2,1,2113,2,7,839,350000
656,1680,2,1971,3,3,1092,3,6,264,88000
657,10007,1,1959,2,1,1053,2,5,312,145500
658,7200,2,1931,3,3,1502,3,6,270,149000
659,17503,2,1948,3,3,1458,3,6,330,97500
660,9937,1,1964,3,1,1486,3,7,480,167000
661,12384,2,1976,3,3,1935,3,7,550,197900
662,46589,2,1994,2,1,2448,2,8,711,402000
663,13560,2,1968,3,2,1392,3,5,576,110000
664,10012,1,1972,3,3,1181,3,6,588,137500
665,20896,2,2005,2,1,2097,1,8,1134,423000
666,11194,2,2000,2,1,1936,2,7,504,230500
667,18450,2,1965,3,3,2380,3,7,596,129000
668,8125,2,1994,3,1,1679,2,7,575,193500
669,14175,1,1956,3,2,1437,3,6,576,168000
670,11600,1,1922,3,1,1180,4,5,252,137500
671,8633,2,2005,2,1,1476,2,7,540,173500
672,6629,2,1925,3,3,1369,3,6,300,103600
673,11250,2,1977,2,3,1208,3,6,546,165000
674,14442,2,1957,3,1,1839,2,7,416,257500
675,9200,2,1965,3,3,1136,3,5,384,140000
676,2289,2,1978,3,3,1441,3,7,440,148500
677,9600,1,1900,3,4,1774,3,8,779,87000
678,9022,1,1924,2,1,792,2,5,240,109500
679,11844,2,2008,2,1,2046,2,7,834,372500
680,9945,1,1961,3,3,988,3,5,572,128500
681,8012,2,1980,3,3,923,3,5,264,143000
682,4500,1,1932,3,1,1520,3,6,281,159434
683,2887,2,1996,3,1,1291,2,6,431,173000
684,11248,2,2002,2,1,1668,2,7,702,285000
685,16770,2,1998,2,2,1839,3,7,486,221000
686,5062,2,1984,2,2,2090,2,6,577,207500
687,10207,2,2007,2,1,1761,2,7,578,227875
688,5105,2,2004,2,1,1102,2,4,480,148800
689,8089,2,2007,2,1,1419,2,7,567,392000
690,7577,2,2005,2,1,1362,2,6,460,194700
691,4426,2,2004,2,1,848,2,3,420,141000
692,21535,2,1994,1,1,4316,1,10,832,755000
693,26178,2,1989,2,1,2519,2,9,628,335000
694,5400,1,1921,3,1,1073,3,4,326,108480
695,6120,1,1936,3,3,1539,3,5,576,141500
696,13811,2,1987,3,2,1137,2,5,551,176000
697,6000,1,1921,3,2,616,3,4,205,89000
698,6420,1,1952,3,4,1148,3,6,308,123500
699,8450,1,1965,3,1,894,3,5,336,138500
700,4282,2,2004,2,1,1391,2,5,530,196000
701,14331,2,2002,2,1,1800,2,7,765,312500
702,9600,2,1969,3,3,1164,3,6,528,140000
703,12438,2,2006,1,1,2576,1,10,666,361919
704,7630,1,1900,3,2,1812,2,8,672,140000
705,8400,2,2004,2,1,1484,2,7,606,213000
706,5600,1,1930,4,4,1092,4,7,0,55000
707,115149,2,1971,3,3,1824,2,5,739,302000
708,6240,2,2006,2,1,1324,2,6,550,254000
709,9018,2,2007,2,1,1456,2,8,400,179540
710,7162,1,1966,3,3,904,3,6,408,109900
711,4130,1,1935,2,2,729,3,5,0,52000
712,8712,1,1900,3,2,1178,3,7,384,102776
713,4671,2,1988,2,2,1228,2,5,472,189000
714,9873,1,1970,3,3,960,3,6,576,129000
715,13517,2,1976,2,1,1479,2,6,475,130500
716,10140,2,1974,3,3,1350,3,7,478,165000
717,10800,2,1890,3,1,2554,3,8,704,159500
718,10000,1,1973,3,2,1178,2,5,439,157000
719,10542,2,1993,2,1,2418,2,9,983,341000
720,9920,1,1969,3,3,971,3,5,300,128500
721,6563,2,1985,2,3,1742,2,5,564,275000
722,4426,2,2004,2,1,848,2,3,420,143000
723,8120,1,1970,3,1,864,3,5,463,124500
724,8172,1,1954,3,1,1470,3,7,548,135000
725,13286,2,2007,1,1,1698,1,8,768,320000
726,6960,1,1970,3,3,864,2,5,660,120500
727,21695,2,1988,2,1,1680,2,5,540,222000
728,7314,2,2007,2,1,1232,2,6,632,194500
729,11475,1,1958,3,3,1776,3,9,888,110000
730,6240,1,1925,3,3,1208,3,5,539,103000
731,5389,2,1995,2,1,1616,2,5,608,236500
732,9590,2,2003,2,1,1146,2,6,438,187500
733,11404,2,1998,2,1,2031,2,8,541,222500
734,10000,1,1961,3,1,1144,3,6,264,131400
735,8978,1,1968,3,3,948,3,6,300,108000
736,10800,2,1914,3,4,1768,3,6,320,163000
737,8544,1,1950,3,2,1040,3,6,400,93500
738,10463,2,2005,2,1,1801,2,8,800,239900
739,10800,1,1987,3,3,1200,3,5,0,179000
740,9313,2,2004,2,1,1728,2,7,572,190000
741,9600,1,1910,3,1,1432,3,7,360,132000
742,6768,2,1961,3,2,912,2,5,288,142000
743,8450,2,2000,3,1,1349,3,6,539,179000
744,12886,1,1963,3,1,1464,3,6,480,175000
745,5395,2,1993,2,2,1337,2,5,462,180000
746,8963,2,1976,1,1,2715,2,11,831,299800
747,8795,2,2000,2,1,2256,2,8,554,236000
748,11700,2,1880,2,3,2640,2,8,864,265979
749,10593,2,1996,2,1,1720,2,7,527,260400
750,8405,1,1945,3,3,1529,3,9,240,98000
751,8800,1,1910,3,2,1140,3,7,0,96500
752,7750,2,2003,2,1,1320,2,6,400,162000
753,9236,2,1997,3,1,1494,2,6,576,217000
754,10240,2,2005,2,2,2098,1,8,878,275500
755,7930,2,1969,3,2,1026,2,5,440,156000
756,3230,2,1999,3,2,1471,3,6,440,172500
757,10769,2,2007,2,1,1768,2,7,578,212000
758,11616,2,1978,3,3,1386,3,6,440,158900
759,2280,2,1999,3,2,1501,3,6,440,179400
760,12257,2,1995,2,1,2531,2,9,752,290000
761,9100,2,1959,3,1,864,3,5,300,127500
762,6911,1,1924,3,3,1301,4,5,440,100000
763,8640,2,2009,3,1,1547,2,7,614,215200
764,9430,2,1999,2,1,2365,2,8,856,337000
765,9549,2,1995,2,1,1494,1,6,481,270000
766,14587,2,2008,2,1,1506,1,6,592,264132
767,10421,2,1988,3,3,1714,3,7,496,196500
768,12508,2,1940,3,1,1750,3,7,423,160000
769,9100,2,2004,2,1,1836,2,8,484,216837
770,53504,2,2003,1,1,3279,1,12,841,538000
771,7252,1,1982,3,3,858,3,5,576,134900
772,8877,1,1951,3,3,1220,3,6,396,102000
773,7819,2,1976,3,3,1117,3,6,672,107000
774,10150,1,1958,3,1,912,3,5,275,114500
775,14226,2,2006,2,2,1973,2,9,895,395000
776,4500,2,1998,3,1,1204,3,5,412,162000
777,11210,2,2005,2,1,1614,2,7,865,221500
778,13350,1,1974,3,3,894,3,5,440,142500
779,8400,1,1977,3,3,2020,3,10,630,144000
780,10530,2,1977,3,3,1004,3,4,504,135000
781,7875,2,1995,3,2,1253,3,6,402,176000
782,7153,2,1992,2,1,1603,2,7,484,175900
783,16285,2,2001,2,1,1430,2,6,605,187100
784,9101,1,1978,3,1,1110,2,4,602,165500
785,6300,2,1914,3,1,1484,3,9,0,128000
786,9790,2,1967,3,3,1342,3,7,457,161500
787,10800,1,1915,3,3,1652,3,7,416,139000
788,10142,2,2004,2,1,2084,2,8,618,233000
789,6000,1,1954,3,1,901,3,4,281,107900
790,12205,2,1966,3,2,2087,2,9,444,187500
791,3182,2,2005,2,1,1145,2,5,397,160200
792,11333,2,1976,3,3,1062,3,5,539,146800
793,9920,2,1996,2,1,2013,3,8,455,269790
794,9158,2,2007,2,1,1496,2,7,474,225000
795,10832,2,1994,2,1,1895,2,7,409,194500
796,8400,2,1980,3,3,1564,3,7,476,171000
797,8197,2,1977,3,1,1285,3,7,528,143500
798,7677,1,1953,3,2,773,3,4,240,110000
799,13518,2,2008,1,1,3140,1,11,820,485000
800,7200,1,1937,3,1,1768,2,7,240,175000
801,12798,2,1997,3,2,1688,2,8,603,200000
802,4800,1,1916,3,1,1196,3,5,440,109900
803,8199,2,2005,2,1,1456,2,7,410,189000
804,13891,2,2008,1,1,2822,1,12,1020,582933
805,9000,1,1954,3,3,1128,3,5,286,118000
806,12274,2,2008,2,1,1428,1,6,554,227680
807,9750,1,1967,3,2,980,3,6,384,135500
808,21384,1,1923,3,1,1576,2,6,528,223500
809,13400,1,1966,3,3,1086,3,6,484,159950
810,8100,1,1898,3,3,2138,3,11,360,106000
811,10140,2,1974,3,4,1309,2,5,484,181000
812,4438,2,2004,2,1,848,2,4,420,144500
813,8712,1,1952,4,3,1044,4,4,504,55993
814,9750,2,1958,3,2,1442,3,7,301,157900
815,8248,1,1918,3,2,1250,4,7,280,116000
816,12137,2,1998,3,1,1661,2,6,598,224900
817,11425,1,1954,3,2,1008,3,4,275,137000
818,13265,2,2002,2,1,1689,2,7,857,271000
819,8816,2,1971,3,2,1052,3,6,440,155000
820,6371,2,2009,2,1,1358,2,6,484,224000
821,7226,2,2003,2,1,1640,2,6,595,183000
822,6000,1,1953,4,3,936,3,4,576,93000
823,12394,2,2003,2,1,1733,2,7,433,225000
824,9900,2,1940,3,3,1489,3,7,240,139500
825,11216,2,2006,2,1,1489,2,7,776,232600
826,14803,2,2007,1,1,2084,1,7,1220,385000
827,6130,1,1924,3,2,784,2,5,0,109500
828,8529,2,2001,2,1,1434,2,6,527,189000
829,28698,1,1967,3,3,2126,3,7,538,185000
830,2544,2,2005,2,1,1223,2,4,480,147400
831,11900,2,1957,3,3,1392,3,6,458,166000
832,3180,2,2005,3,1,1200,2,4,480,151000
833,9548,2,2003,2,1,1829,2,7,613,237000
834,10004,2,1964,3,3,1516,3,6,472,167000
835,7875,1,1961,3,2,1144,3,6,456,139950
836,9600,1,1950,3,3,1067,2,4,436,128000
837,8100,1,1948,3,2,1559,3,5,812,153500
838,1680,2,1973,3,3,987,3,5,264,100000
839,9525,1,1995,3,1,1099,2,6,352,144000
840,11767,1,1946,3,1,1200,3,6,240,130500
841,12155,2,1925,3,3,1482,4,7,400,140000
842,10440,1,1904,3,2,1539,2,8,686,157500
843,9020,2,1966,3,3,1165,3,6,490,174900
844,8000,1,1961,3,1,1800,3,10,0,141000
845,12665,1,1915,3,2,1416,3,7,720,153900
846,16647,1,1975,3,3,1701,3,6,611,171000
847,9317,2,1993,2,1,1775,2,7,425,213000
848,15523,1,1972,3,1,864,3,5,338,133500
849,45600,2,1908,3,3,2358,3,10,360,240000
850,9600,2,1976,2,1,1855,3,7,512,187000
851,4435,2,2003,2,1,848,2,3,420,131500
852,3196,2,2003,2,1,1456,2,7,400,215000
853,7128,2,1941,3,2,1646,3,7,240,164000
854,12095,2,1964,3,3,1445,3,7,645,158000
855,17920,1,1955,3,3,1779,3,6,454,170000
856,6897,1,1962,3,1,1040,3,6,260,127000
857,10970,2,1978,3,3,1026,3,5,576,147000
858,8125,2,1994,3,2,1481,3,6,343,174000
859,10400,2,1976,3,3,1370,3,6,479,152000
860,11029,2,1968,3,3,2654,2,9,619,250000
861,7642,2,1918,2,2,1426,2,7,216,189950
862,11625,1,1965,3,1,1039,3,6,504,131500
863,9672,2,1984,3,3,1097,3,6,480,152000
864,7931,1,1959,3,3,1148,3,6,672,132500
865,8640,2,2007,2,1,1372,2,6,529,250580
866,8750,1,1970,3,3,1002,3,5,902,148500
867,10656,2,2006,2,1,1646,2,6,870,248900
868,6970,1,1961,3,3,1120,4,5,544,129000
869,14762,1,1948,3,2,2320,3,7,672,169000
870,9938,2,1993,2,1,1949,2,8,574,236000
871,6600,1,1962,3,2,894,3,5,308,109500
872,8750,2,1998,3,1,1682,2,7,523,200500
873,8892,1,1953,2,2,910,2,5,414,116000
874,12144,1,1949,2,2,1268,3,6,288,133000
875,5720,1,1941,3,1,1131,3,5,200,66500
876,9000,2,2007,2,1,2610,1,11,550,303477
877,25286,1,1963,3,2,1040,3,5,648,132250
878,8834,2,2004,2,1,2224,1,10,738,350000
879,11782,1,1961,3,3,1155,2,6,576,148000
880,7000,1,1978,2,1,864,3,6,336,136500
881,7024,1,2005,3,2,1090,3,5,450,157000
882,13758,2,1990,2,1,1717,2,7,400,187500
883,9636,2,1992,3,2,1593,3,7,389,178000
884,6204,1,1912,2,3,2230,3,10,440,118500
885,7150,1,1967,3,3,892,3,5,288,100000
886,5119,2,1999,2,1,1709,2,5,506,328900
887,8393,1,1959,3,1,1712,3,8,588,145000
888,16466,1,1955,3,3,1393,3,8,300,135500
889,15865,2,1970,2,1,2217,2,8,621,268000
890,12160,2,1953,3,1,1505,3,6,505,149500
891,8064,1,1949,3,1,924,3,6,576,122900
892,11184,2,1978,3,2,1683,3,7,440,172500
893,8414,2,1963,3,3,1068,3,6,264,154500
894,13284,1,1954,3,3,1383,3,6,354,165000
895,7018,1,1979,3,3,1535,3,8,400,118858
896,7056,2,1963,3,3,1796,3,8,483,140000
897,8765,1,1936,3,1,951,3,6,327,106500
898,7018,1,1979,3,3,2240,3,12,528,142953
899,12919,2,2009,1,1,2364,1,11,820,611657
900,6993,1,1961,3,3,1236,3,6,288,135000
901,7340,1,1971,3,3,858,3,4,684,110000
902,8712,1,1957,3,3,1306,3,5,756,153000
903,7875,2,2003,2,1,1509,2,8,393,180000
904,14859,2,2006,2,1,1670,2,7,690,240000
905,6173,1,1967,3,3,902,3,6,288,125500
906,9920,1,1954,3,3,1063,3,6,280,128000
907,13501,2,2006,2,1,1636,2,8,865,255000
908,11500,2,1936,2,2,2057,2,6,180,250000
909,8885,1,1983,3,3,902,3,5,484,131000
910,12589,2,2005,2,1,1484,2,8,390,174000
911,11600,1,1960,3,3,2274,3,12,480,154300
912,9286,1,1977,3,3,1268,2,5,252,143500
913,6120,1,1925,3,3,1015,3,6,450,88000
914,6270,1,1949,3,3,2002,3,8,871,145000
915,3000,2,2009,2,1,1224,2,4,528,173733
916,2001,1,1970,3,4,1092,3,6,286,75000
917,9000,1,1949,3,3,480,3,4,308,35311
918,17140,1,1956,3,1,1229,3,6,284,135000
919,13125,2,1991,2,1,2127,2,8,833,238000
920,11029,2,1958,1,1,1414,3,6,601,176500
921,8462,2,1994,2,1,1721,2,7,471,201000
922,8777,1,1900,3,2,2200,3,9,0,145900
923,10237,2,2005,2,1,1316,2,6,397,169990
924,8012,2,1993,2,1,1617,2,5,533,193000
925,10240,2,1980,3,3,1686,3,7,612,207500
926,15611,1,1977,3,3,1126,1,6,540,175000
927,11999,2,2003,2,1,2374,1,10,656,285000
928,9900,2,1968,3,2,1978,3,9,486,176000
929,11838,2,2001,2,1,1788,1,7,522,236500
930,13006,2,1997,3,2,2236,2,8,642,222000
931,8925,2,2007,2,1,1466,2,7,610,201000
932,9100,1,1965,3,1,925,3,5,429,117500
933,11670,2,2006,1,1,1905,1,8,788,320000
934,8487,2,2004,2,1,1500,2,6,570,190000
935,27650,2,1960,3,1,2069,2,9,505,242000
936,5825,1,1926,3,2,747,3,5,528,79900
937,10083,2,2003,2,1,1200,2,5,555,184900
938,9675,2,2005,2,1,1971,2,8,689,253000
939,8760,2,2006,2,1,1962,2,7,868,239799
940,24090,2,1940,3,1,2403,3,10,349,244400
941,12640,2,1976,3,3,1728,3,8,574,150900
942,8755,2,1999,2,1,2060,2,8,390,214000
943,7711,1,1977,3,3,1440,3,8,0,150000
944,25000,1,1967,3,3,1632,3,8,576,143000
945,14375,2,1958,3,2,1344,2,7,525,137500
946,8820,1,1890,3,3,1869,3,7,456,124900
947,8163,1,1959,3,3,1144,3,6,796,143000
948,14536,2,2002,2,1,1629,2,9,808,270000
949,14006,2,2002,2,1,1776,2,7,474,192500
950,9360,2,1972,3,3,1381,2,5,676,197500
951,7200,1,1950,3,2,864,2,5,720,129000
952,7800,1,1965,3,2,965,3,6,300,119900
953,7200,1,1972,3,2,768,3,5,396,133900
954,11075,1,1969,3,1,1968,3,7,530,172000
955,9400,2,1975,3,3,980,3,4,0,127500
956,7136,2,1946,3,3,1958,3,8,492,145000
957,1300,2,1980,3,3,1229,3,5,462,124000
958,7420,1,1962,3,3,1057,3,6,576,132000
959,8450,2,2003,2,1,1337,2,6,531,185000
960,2572,2,1999,2,1,1416,2,6,484,155000
961,7207,1,1958,3,2,858,3,4,0,116500
962,12227,2,1977,3,3,2872,3,11,619,272000
963,2308,2,1976,3,3,1548,2,7,440,155000
964,11923,2,2007,2,1,1800,1,7,702,239000
965,11316,2,2002,2,1,1894,2,8,510,214900
966,10237,2,2005,2,1,1484,2,8,393,178900
967,9600,1,1940,2,1,1308,3,7,256,160000
968,7390,1,1955,3,3,1098,3,6,260,135000
969,5925,1,1910,3,4,968,3,6,0,37900
970,10382,2,1958,3,3,1095,3,6,264,140000
971,10800,1,1949,3,3,1192,3,6,0,135000
972,2268,2,2003,2,1,1626,2,6,474,173000
973,7892,2,1979,3,3,918,3,5,264,99500
974,11639,2,2007,2,1,1428,2,6,480,182000
975,11414,2,1910,3,3,2019,2,8,532,167500
976,2651,2,2000,2,1,1382,2,6,490,165000
977,5900,1,1923,3,3,869,4,4,0,85500
978,4274,2,2006,2,1,1241,2,4,569,199900
979,9450,1,1954,3,1,894,3,5,400,110000
980,8816,1,1963,3,3,1121,3,5,480,139000
981,12122,2,1961,1,2,999,1,6,588,178400
982,12203,2,1998,2,1,2612,2,8,676,336000
983,3182,2,2007,2,1,1266,2,6,388,159895
984,11250,2,2002,2,1,2290,2,9,779,255900
985,10125,1,1977,3,3,1734,2,8,539,126000
986,10880,1,1950,3,3,1164,3,5,240,125000
987,5310,2,1910,3,2,1635,2,5,255,117000
988,10159,2,2009,1,1,1940,1,8,606,395192
989,12046,2,1976,3,3,2030,2,8,551,195000
990,8125,2,2006,2,1,1576,2,6,614,197000
991,9452,2,1997,2,1,2392,2,7,870,348000
992,17671,2,1882,2,2,1742,2,8,424,168000
993,9760,2,1964,3,2,1851,2,7,440,187000
994,8846,2,2005,3,1,1500,2,6,564,173900
995,12456,2,2006,1,1,1718,1,7,786,337500
996,4712,1,1946,3,3,1230,3,5,305,121600
997,10659,1,1961,3,3,1050,3,6,368,136500
998,11717,2,1970,3,3,1442,3,6,615,185000
999,9786,1,1922,3,4,1077,3,6,210,91000
1000,6762,2,2006,2,1,1208,2,6,632,206000
1001,10206,1,1952,3,4,944,4,4,528,82000
1002,5400,1,1920,3,1,691,1,4,216,86000
1003,11957,2,2006,2,1,1574,2,7,824,232000
1004,11500,1,1976,3,4,1680,3,8,528,136905
1005,3182,2,2005,2,1,1504,2,7,457,181000
1006,8385,1,1977,2,3,985,3,6,328,149900
1007,12155,2,1970,3,2,1657,3,7,484,163500
1008,2217,1,1970,3,3,1092,3,6,286,88000
1009,12118,2,2004,2,1,1710,2,7,550,240000
1010,6000,1,1926,3,1,1522,3,7,0,102000
1011,21286,1,1948,3,3,1271,3,7,312,135000
1012,9825,1,1965,3,3,1664,3,8,0,100000
1013,10592,2,1923,3,3,1502,2,7,180,165000
1014,7200,1,1910,3,3,1022,3,4,280,85000
1015,11664,2,1948,3,3,1082,3,5,240,119200
1016,8400,2,2001,2,1,1665,2,6,528,227000
1017,11883,2,1996,2,1,1504,2,6,478,203000
1018,5814,2,1984,2,2,1360,2,4,565,187500
1019,10784,2,1991,2,2,1472,2,7,402,160000
1020,3013,2,2005,2,1,1506,2,6,440,213490
1021,7024,1,2005,3,1,1132,2,5,451,176000
1022,7406,2,2006,2,1,1220,2,6,632,194000
1023,9439,1,1930,3,2,1248,3,6,160,87000
1024,3182,2,2005,2,1,1504,2,7,437,191000
1025,15498,2,1976,2,3,2898,2,10,665,287000
1026,7700,1,1972,3,3,882,3,5,461,112500
1027,9300,1,1960,3,3,1264,3,6,461,167500
1028,9520,2,2007,2,1,1646,2,7,800,293077
1029,9492,1,1941,3,3,1376,3,6,240,105000
1030,1680,2,1972,3,2,1218,3,7,264,118000
1031,7082,1,1916,3,2,1928,3,10,0,160000
1032,15863,2,1920,3,1,3082,3,12,672,197000
1033,14541,2,1993,2,1,2520,2,10,796,310000
1034,8125,2,2002,2,1,1654,2,6,900,230000
1035,6305,1,1938,3,1,954,4,5,240,119750
1036,11500,1,1957,3,1,845,3,5,290,84000
1037,12898,2,2007,2,1,1620,1,6,912,315500
1038,9240,2,2001,2,1,2263,2,7,905,287000
1039,1533,1,1970,3,3,1344,3,6,0,97000
1040,1477,1,1970,3,3,630,3,3,286,80000
1041,13125,1,1957,3,1,1803,3,8,484,155000
1042,9130,2,1966,3,2,1632,2,7,484,173000
1043,5381,2,2005,2,1,1306,2,5,624,196000
1044,11839,2,1990,3,1,2329,2,10,514,262280
1045,9600,2,1981,2,3,2524,2,9,542,278000
1046,13680,1,1955,3,1,1733,3,8,452,139600
1047,16056,2,2005,2,1,2868,1,11,716,556581
1048,9245,1,1994,3,1,990,3,5,672,145000
1049,21750,1,1960,3,3,1771,3,9,336,115000
1050,11100,1,1946,3,1,930,2,6,308,84900
1051,8993,2,2007,2,1,1302,2,6,436,176485
1052,11175,2,2007,2,1,1316,2,6,440,200141
1053,9500,2,1964,3,3,1977,3,9,540,165000
1054,8562,1,1957,3,1,1526,3,7,364,144500
1055,11367,2,2002,2,1,1989,2,7,586,255000
1056,11361,2,1976,3,3,1523,3,7,478,180000
1057,7052,2,2005,2,1,1364,2,6,484,185850
1058,29959,2,1994,2,1,1850,2,7,467,248000
1059,11308,2,2008,1,1,2184,1,10,836,335000
1060,11275,2,1932,3,3,1991,3,7,432,220000
1061,4920,2,2001,2,1,1338,2,6,582,213500
1062,18000,1,1935,4,3,894,3,6,1248,81000
1063,13600,1,1900,3,3,2337,3,10,560,90000
1064,6000,2,1925,3,2,1103,2,5,440,110500
1065,11000,1,1966,3,1,1154,3,6,480,154000
1066,14000,2,1996,2,1,2260,2,7,533,328000
1067,7837,2,1993,2,2,1571,3,7,380,178000
1068,9760,2,1964,3,3,1611,3,7,442,167900
1069,3964,2,1973,3,2,2521,3,10,576,151400
1070,9600,1,1949,3,3,893,2,4,576,135000
1071,10152,1,1956,3,3,1048,3,6,286,135000
